time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-21T02:33:09.427Z,52.8212,156.0329,271.672,4.4,mb,70,103,1.048,0.77,us,us6000jqgw,2023-02-22T01:02:39.040Z,"150 km W of Paratunka, Russia",earthquake,9.54,4.487,0.03,332,reviewed,us,us
2023-02-21T01:14:00.196Z,-19.0788,-70.1529,60.623,4.2,mb,20,157,0.491,0.36,us,us6000jqgm,2023-02-21T23:16:53.040Z,"68 km SSE of Arica, Chile",earthquake,3.99,8.941,0.237,5,reviewed,us,us
2023-02-21T00:23:21.700Z,19.1574993133545,-155.363159179688,30.3099994659424,2.67,ml,40,210,,0.129999995,hv,hv73328282,2023-02-21T19:04:49.115Z,"13 km ESE of P?hala, Hawaii",earthquake,0.59,0.810000002,1.97,19,automatic,hv,hv
2023-02-20T23:21:14.375Z,38.0082,37.3722,10,4.3,mwr,92,36,0.626,0.81,us,us6000jqft,2023-02-21T06:06:23.818Z,"7 km NW of Nurhak, Turkey",earthquake,4.15,1.898,0.062,25,reviewed,us,us
2023-02-20T22:39:09.331Z,-3.4817,143.671,10,4.7,mb,22,126,6.829,0.59,us,us6000jqfg,2023-02-20T23:08:44.040Z,"8 km NNE of Wewak, Papua New Guinea",earthquake,10.2,1.967,0.126,19,reviewed,us,us
2023-02-20T22:21:19.174Z,0.1342,127.3092,145.607,4.3,mb,22,116,0.636,0.36,us,us6000jqfc,2023-02-20T22:48:30.040Z,"72 km SSW of Sofifi, Indonesia",earthquake,9.17,7.269,0.148,13,reviewed,us,us
2023-02-20T22:11:56.186Z,26.0297,125.7147,115.322,4.4,mb,34,105,2.43,1,us,us6000jqfh,2023-02-20T23:24:58.040Z,"142 km NNE of Hirara, Japan",earthquake,10.4,9.506,0.088,37,reviewed,us,us
2023-02-20T20:13:51.210Z,-4.3832,102.1932,55.423,4.9,mb,70,61,0.761,1.2,us,us6000jqe3,2023-02-20T20:51:19.040Z,"64 km S of Bengkulu, Indonesia",earthquake,7.48,5.564,0.065,75,reviewed,us,us
2023-02-20T19:19:22.838Z,4.5817,-82.8567,10,4.9,mb,67,149,3.832,1.11,us,us6000jqds,2023-02-20T21:28:51.040Z,"south of Panama",earthquake,8.21,1.904,0.038,218,reviewed,us,us
2023-02-20T19:09:21.462Z,36.2966,36.1291,10,4.1,mb,31,194,1.232,0.91,us,us6000jqdp,2023-02-21T12:46:56.718Z,"4 km NNW of Kuzeytepe, Turkey",earthquake,7.06,1.99,0.197,7,reviewed,us,us
2023-02-20T19:00:14.022Z,36.067,35.9856,10,4.2,mb,45,99,1.479,1.06,us,us6000jqdn,2023-02-20T21:43:23.040Z,"9 km SSW of Uzunba?, Turkey",earthquake,6.55,1.944,0.121,19,reviewed,us,us
2023-02-20T18:42:29.241Z,51.8765,178.087,154.978,4.1,mb,40,167,0.31,0.74,us,us6000jqdl,2023-02-20T22:02:12.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,12.46,9.21,0.097,29,reviewed,us,us
2023-02-20T17:53:33.971Z,-9.8286,160.2368,11.992,5.1,mb,43,123,0.481,0.72,us,us6000jqdb,2023-02-20T20:49:07.045Z,"53 km SE of Honiara, Solomon Islands",earthquake,7.59,4.375,0.055,106,reviewed,us,us
2023-02-20T17:47:46.336Z,17.6339,145.5206,336.653,4.5,mb,92,101,4.07,0.72,us,us6000jqdg,2023-02-20T21:47:12.040Z,"269 km N of Saipan, Northern Mariana Islands",earthquake,12.01,8.387,0.046,138,reviewed,us,us
2023-02-20T17:07:35.745Z,36.1491,35.9086,10,5.5,mb,37,88,1.462,0.97,us,us6000jqjc,2023-02-21T19:41:02.691Z,"Central Turkey",earthquake,5.55,1.871,0.128,21,reviewed,us,us
2023-02-20T17:04:29.441Z,36.1094,36.0165,16,6.3,mww,140,26,1.43,1.18,us,us6000jqcn,2023-02-22T22:18:42.817Z,"3 km SSW of Uzunba?, Turkey",earthquake,5.41,1.504,0.031,97,reviewed,us,us
2023-02-20T16:22:11.920Z,18.3275,-67.251,15.47,2.87,md,13,129,0.01012,0.43,pr,pr71396908,2023-02-20T17:09:09.120Z,"0 km NW of Stella, Puerto Rico",earthquake,0.85,1.19,0.107223062017609,7,reviewed,pr,pr
2023-02-20T15:58:02.862Z,-20.7666,-67.9306,176.616,4,mb,20,68,1.481,0.96,us,us6000jqb0,2023-02-20T16:38:33.040Z,"116 km WSW of Colchani, Bolivia",earthquake,5.91,12.19,0.231,5,reviewed,us,us
2023-02-20T15:01:41.005Z,57.0044,-153.9982,0,2.8,ml,,,,0.47,ak,ak0232clci50,2023-02-20T16:32:26.040Z,"Kodiak Island region, Alaska",earthquake,,2.1,,,automatic,ak,ak
