RefArea,Reference Area,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
S16000086,"Caithness, Sutherland and Ross",46641,46415,47620,49104,52233,51860,57263,57201,61401,68139,76998,95640,113757,127142,138667,138663,132623,132254,126654,124482,130296,134381,136600,142889,145611,141484
S16000087,"Carrick, Cumnock and Doon Valley",50950,50049,50485,54431,55033,53179,58488,59202,58895,63317,84946,95540,107005,123141,137864,132691,125546,126009,128793,114184,123013,120134,119026,122902,125796,128382
S16000088,Clackmannanshire and Dunblane,60626,60544,63528,61092,71057,70050,73184,87329,90776,91763,101138,123475,133077,148047,165244,163251,163579,165032,158997,164977,160010,167040,170629,165585,173822,168774
S16000089,Clydebank and Milngavie,72759,72538,82279,78049,78655,77937,81851,85367,88159,100084,124990,135117,152620,157026,177286,181831,182863,188021,197627,184675,181603,177327,194987,185075,210509,198303
S16000090,Clydesdale,55341,55804,58715,59419,62613,68498,73286,73286,75070,83941,94725,115351,127511,140773,156951,159093,154287,147749,149002,141679,135101,140783,148471,147800,161644,164438
S16000091,Coatbridge and Chryston,44613,46160,48293,48254,49951,52325,54877,59609,63510,78578,86403,98277,117653,129650,139421,135812,127077,124825,127521,124405,129587,128228,134469,141940,141676,145335
S16000092,Cowdenbeath,45778,48977,50113,51384,62072,57307,60489,60776,61764,67179,77424,92473,105586,114549,125061,134495,127676,128821,126102,114920,119045,127208,130625,131719,138064,142418
S16000093,Cumbernauld and Kilsyth,46498,45526,52149,51100,55188,54902,58221,64683,69539,72505,77433,91639,101348,110213,121641,125056,113439,120913,124406,110285,103075,119543,130004,130626,132455,138531
S16000094,Cunninghame North,49178,51920,52515,52447,55072,56353,61456,60540,62239,69339,78724,97253,108670,128768,135892,141689,128590,132177,131233,120170,121445,130521,130123,126183,131812,127054
S16000095,Cunninghame South,44740,45904,46359,46746,48070,49711,47925,50248,50949,57667,64139,77289,96737,103569,117134,115694,107057,108166,111021,91344,98147,110262,113868,108619,111004,104473
S16000096,Dumbarton,55256,58857,56610,61544,63273,61331,64768,66870,73622,80482,97353,118504,123360,130119,141434,146929,140275,147657,152025,145739,149990,144732,145999,146304,148000,154812
S16000097,Dumfriesshire,51349,55297,52777,54418,58598,57701,63251,64159,65943,70711,85604,113045,123458,132273,144392,143211,141616,141081,133647,141316,133722,138349,140104,140375,141033,143990
S16000098,Dundee City East,45240,47779,49700,49968,50701,54232,58711,60647,62610,66716,73986,80827,94595,108755,127670,129599,134484,132943,130865,126284,132699,148906,133914,137662,141851,139942
S16000099,Dundee City West,43451,45302,46661,47717,49391,51248,52346,54094,58827,62964,72025,84704,102688,120451,135611,134853,128279,122825,120417,123818,126258,125825,133907,138306,140873,140736
S16000100,Dunfermline,50743,50507,52471,52871,60996,58577,61667,70061,73033,83749,100770,114355,121828,129660,148577,154687,136922,141924,138073,132315,132323,141948,149509,155503,161027,166719
S16000101,East Kilbride,49133,49955,53162,52408,55464,57282,58752,62301,65065,72584,89161,101481,112406,133000,139600,154939,136101,141814,131701,121107,127280,123033,130596,145626,154524,140361
S16000102,East Lothian,66041,73999,72832,77079,79895,84820,87426,103979,106995,126701,160241,178218,191303,194901,221919,226258,219983,239006,214762,218150,222988,237080,253409,236789,251909,257538
S16000103,Eastwood,78878,81060,81252,86841,90561,97922,102195,113471,123930,142500,164488,195886,203531,226563,238103,245623,224927,232860,232034,234338,243026,251525,259194,273114,294517,290894
S16000104,Edinburgh Central,60773,70467,70158,74258,82895,91414,104890,111979,126209,151900,171073,191368,192983,226026,245523,254068,240416,253201,248412,251003,256499,286943,293766,313182,320316,358784
S16000105,Edinburgh Eastern,56133,58206,62661,60889,65664,71027,75458,85164,87613,104712,124328,140308,146782,163145,177713,180204,168888,174732,173230,167149,166922,177600,191943,195780,214477,220086
S16000106,Edinburgh Northern and Leith,48047,50116,52677,55148,59393,66027,71442,80799,88683,109685,128816,143188,158529,167566,185210,191276,177337,183198,175250,178272,179346,189938,212570,199815,218719,226450
S16000107,Edinburgh Pentlands,72486,75756,80766,80088,81059,86478,95596,96898,109202,129726,148929,173188,179375,196056,209200,206893,200948,215032,223420,211141,219324,530634,243441,257192,256089,263905
S16000108,Edinburgh Southern,72760,78284,85629,85032,90637,101144,114961,127442,131451,161926,184315,203150,214758,233530,262750,265250,249255,256472,259821,259469,253535,282419,302448,303832,332077,357162
S16000109,Edinburgh Western,69679,74851,74486,78464,80941,88378,95496,98579,104658,129014,148946,171685,186601,205916,227641,234411,222839,230952,227954,229117,233050,232201,254439,244567,257096,267547
S16000111,"Ettrick, Roxburgh and Berwickshire",50481,52168,55986,55260,62271,60302,65584,71931,73918,85717,103442,118495,135494,146262,161951,161799,153836,158235,167508,155526,150470,160386,161512,163032,168550,164916
S16000112,Falkirk East,49304,50805,52404,52876,56201,55521,60648,61672,64359,73326,80548,101531,108266,117658,130648,136769,128156,124791,127772,120610,125876,126649,130479,146836,144476,151035
S16000113,Falkirk West,47016,47122,49454,52264,52621,54725,56589,63336,62194,70362,81778,99982,111558,122395,138246,137782,122901,128573,130821,125973,127139,131560,135906,130621,137003,144162
S16000114,Galloway and West Dumfries,52811,54698,54655,55615,58737,58552,61708,64080,66832,71579,83843,108314,123542,136742,144698,156951,136807,146396,139577,137074,134877,145961,133850,142196,139951,151177
S16000115,Glasgow Anniesland,54592,53508,58989,55700,61204,63817,65515,72366,77968,94536,111769,128508,144231,151113,167278,162327,145223,158939,159127,148926,144298,150752,161825,153927,164094,169003
S16000116,Glasgow Cathcart,47389,48484,47848,50506,54694,54052,56900,64630,65002,77900,94038,115211,120669,132097,146439,143060,134206,139171,136914,124178,131674,130045,141186,143288,152532,152922
S16000117,Glasgow Kelvin,52862,54809,57873,60152,65199,69063,76913,86410,94393,114310,145188,161830,164514,182091,191678,187510,175706,183015,186553,178506,182968,189581,198434,208287,229494,225969
S16000118,Glasgow Maryhill and Springburn,50192,52093,51862,52528,51130,57999,64815,70652,74651,74610,86285,107454,107650,121040,130416,139031,131191,132889,132722,120788,124652,129455,132482,132961,149506,149245
S16000119,Glasgow Pollok,40963,43748,42113,45198,47874,51080,56086,55482,58393,64379,76215,92378,107117,120998,136078,122529,107693,109849,105252,101558,99397,104739,125056,134206,144845,141959
S16000147,Glasgow Provan,36243,36390,38003,41864,46746,49302,50982,50741,50723,55541,65278,81867,90388,106197,117970,128732,120081,118688,102615,96834,98861,109065,109996,110121,128041,129076
S16000121,Glasgow Shettleston,44744,46790,48071,50354,53113,49063,56336,59285,58465,63459,79271,86833,94616,106856,117399,125574,115993,115110,119002,104475,104199,112425,120800,127576,125234,130512
S16000122,Glasgow Southside,47378,51635,50539,52491,56807,55562,59590,62960,69906,77503,95001,119763,130400,133397,142312,143855,128369,141260,133861,128999,128981,139378,142802,139620,153892,147636
S16000123,Greenock and Inverclyde,46223,47389,50216,50413,51513,51929,54167,56796,60158,65874,71771,92616,99159,110184,122525,130338,123568,121422,117897,117050,108122,114670,123300,118131,118359,115666
S16000124,"Hamilton, Larkhall and Stonehouse",47980,49194,49961,51796,53118,55883,59689,60321,64819,70396,81601,101508,111980,119467,129876,133217,127021,121187,140534,123344,113548,118089,125427,132731,141392,147519
S16000125,Inverness and Nairn,51359,55286,55772,55946,57328,59310,62564,64938,70512,79616,96209,120334,133541,154176,169474,175345,166057,170787,169689,167215,165602,171117,176549,177735,185411,188988
S16000126,Kilmarnock and Irvine Valley,44938,47303,49204,49622,49967,51356,56809,57039,63680,63419,75686,90542,104950,113847,132408,140935,125445,127269,127117,117846,117262,118612,122833,126049,131901,126977
S16000127,Kirkcaldy,45462,44590,44609,44819,41191,49469,48816,51470,53603,57389,68045,89733,98209,107477,122540,127416,115335,107458,113467,108452,110940,116671,119262,120917,127912,121321
S16000128,Linlithgow,53467,54821,57743,56402,61696,62102,64739,70848,71728,80465,98834,117328,125082,144390,155732,158542,144242,159007,158909,149098,150389,153430,165252,164288,163699,166404
S16000129,Mid Fife and Glenrothes,43797,46055,46681,48027,43970,49383,51876,56601,55777,61538,74621,88245,105504,115578,124927,131095,131966,120542,121671,115388,118187,121071,124990,122639,130525,129923
S16000130,Midlothian North and Musselburgh,54717,58263,62322,65776,65704,70984,80970,85975,91627,101303,122705,142584,146978,160515,184990,183192,175611,180374,170204,174546,179679,178154,184361,198492,203639,213713
S16000131,"Midlothian South, Tweeddale and Lauderdale",55585,59411,60957,61349,67193,71977,75822,82874,85997,100427,120909,142839,143846,164669,184373,193869,187493,185434,180957,176639,178812,185479,187538,186121,193967,198527
S16000132,Moray,49792,56951,55147,54913,57865,60416,61650,63259,64807,67957,82764,94701,110287,128676,151940,156170,154837,150098,147278,149706,149564,152822,157318,160624,163928,171791
S16000133,Motherwell and Wishaw,45958,47608,47469,46519,50236,56638,56607,59552,58877,65959,71426,86070,96370,109376,116571,124095,112340,110690,129146,119849,118330,114557,115635,119879,130728,132463
S16000110,Na h-Eileanan an Iar,43681,0,0,42739,43845,44975,44126,47837,50815,49907,55808,69816,82989,87898,99373,116459,106247,83804,88126,107019,104415,98338,110942,110057,111321,108700
S16000134,North East Fife,62951,67086,65202,67955,73188,76452,81805,82817,90958,107496,127343,152938,163321,179981,200178,213761,186657,203663,200681,200239,199292,209967,217626,225268,220275,225594
S16000135,Orkney Islands,48310,45320,48389,47505,49695,49289,50538,54285,52225,56127,65025,83030,101671,112078,120771,126777,122200,116026,123310,132771,128115,124307,134449,139578,150924,153525
S16000136,Paisley,46348,50044,51881,51122,53606,54739,56227,60237,59159,64806,77318,91562,101066,111556,124705,128542,117221,118943,117124,102841,111759,113620,124071,121123,121581,114865
S16000137,Perthshire North,57805,62713,62127,65800,66718,69767,74207,79960,83802,92904,106726,120657,139499,155640,174595,181205,181442,173002,178764,178406,175292,184625,189921,189140,194142,187085
S16000138,Perthshire South and Kinross-shire,61819,63852,69219,70932,72200,72565,78591,84798,88984,98624,116351,137521,146294,165652,185880,186418,177113,182459,179576,180420,181560,195839,195580,198213,205509,201278
S16000139,Renfrewshire North and West,61979,64205,65062,65572,66416,66763,71182,75926,87897,86083,102423,125817,129548,148309,153035,157314,154032,170218,143682,145630,144117,166719,166173,174505,178220,173327
S16000140,Renfrewshire South,52153,55454,55476,56285,56696,59024,62705,64602,62178,74528,83856,106821,110390,120279,128914,133050,126553,131424,127806,115966,117020,124906,137552,133579,131300,149581
S16000141,Rutherglen,50111,51450,50544,50351,53809,58215,61814,63219,70122,77031,88215,109448,115418,128455,132192,139344,127775,132869,129327,120713,122991,126749,141574,141610,145730,144363
S16000142,Shetland Islands,52870,56573,57906,55031,55458,55403,57094,59385,61161,68767,66810,80025,87617,98415,121819,132561,112092,114424,117848,120533,133715,140764,148379,155716,165442,165008
S16000143,"Skye, Lochaber and Badenoch",58390,62769,59074,61879,61965,64378,70810,71103,75713,86731,105106,130048,146202,170228,181289,192229,173471,174002,175342,169590,171670,177478,183062,187925,196818,204788
S16000144,Stirling,68945,69986,71383,69279,76625,76002,81267,87743,89480,104104,126263,144725,150538,163830,179903,184776,179857,177927,180342,174438,173765,180574,182040,182219,192304,191435
S16000148,Strathkelvin and Bearsden,63950,64965,70034,70384,71352,75491,77906,85237,92892,104368,126001,150738,164702,170456,184452,196217,180369,179096,192182,191708,206141,217951,207443,211998,218126,228043
S16000146,Uddingston and Bellshill,51223,52810,56423,57146,56502,57869,59113,61223,77862,85741,88865,107067,117672,120265,129549,136734,129083,129281,132167,122856,128126,140555,139874,146210,152877,150769
